,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9463087248322147,0.94,0.9431438127090301,150.0
Tomato___Early_blight,0.9,0.96,0.9290322580645162,150.0
Tomato___healthy,0.8152173913043478,1.0,0.8982035928143712,150.0
Tomato___Late_blight,0.9927536231884058,0.9133333333333333,0.9513888888888888,150.0
Tomato___Leaf_Mold,1.0,0.94,0.9690721649484536,150.0
Tomato___Septoria_leaf_spot,0.9724137931034482,0.94,0.9559322033898305,150.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9300699300699301,0.8866666666666667,0.9078498293515358,150.0
Tomato___Target_Spot,0.8741721854304636,0.88,0.8770764119601329,150.0
Tomato___Tomato_mosaic_virus,0.9933333333333333,0.9933333333333333,0.9933333333333333,150.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9266666666666666,0.9619377162629758,150.0
accuracy,0.938,0.938,0.938,0.938
macro avg,0.9424268981262143,0.938,0.9386970211723067,1500.0
weighted avg,0.9424268981262144,0.938,0.9386970211723068,1500.0
